time;logger;level;message;exception
2012-03-14 09:52:34.0533;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-03-14 09:52:34.0533;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'items/1' was found;
2012-03-14 09:52:34.0533;Raven.Database.Server.HttpServer;Debug;Request #  75: GET     -     0 ms - <default>  - 200 - /docs/items/1;
2012-03-14 09:52:34.0533;Raven.Database.Server.HttpServer;Debug;Request #  76: GET     -     1 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-03-14 09:53:25.0364;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-03-14 09:53:25.0364;Raven.Database.Server.HttpServer;Debug;Request #  77: GET     -     1 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-03-14 09:53:48.2076;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-03-14 09:53:48.2076;Raven.Database.Server.HttpServer;Debug;Request #  78: GET     -     2 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-03-14 09:53:48.3886;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Raven/DocumentsByEntityName for: Tag:Items;
2012-03-14 09:53:48.5577;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'items/1' was found;
2012-03-14 09:53:48.5577;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'items/2' was found;
